Name,half_life,SMILES
Nalidixic_acid,1.8,CCN1C=C(C(O)=O)C(=O)C2=C1N=C(C)C=C2
Acyclovir,2.75,NC1=NC(=O)C2=C(N1)N(COCCO)C=N2
Naproxen,14.5,COC1=CC2=C(C=C1)C=C(C=C2)[C@H](C)C(O)=O
Gadopentetic_acid,1.67,OC(=O)CN(CCN(CCN(CC(O)=O)CC([O-])=O)CC([O-])=O)CC([O-])=O
Perindopril,1.2,[H][C@]12C[C@H](N(C(=O)[C@H](C)N[C@@H](CCC)C(=O)OCC)[C@@]1([H])CCCC2)C(O)=O
Primidone,14.5,CCC1(C(=O)NCNC1=O)C1=CC=CC=C1
Sulfasalazine,7.5,OC(=O)C1=CC(=CC=C1O)\N=N\C1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=C1
Candesartan_cilexetil,9,CCOC1=NC2=C(N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NN=NN1)C(=CC=C2)C(=O)OC(C)OC(=O)OC1CCCCC1
Tazarotene,18,CCOC(=O)C1=CN=C(C=C1)C#CC1=CC2=C(SCCC2(C)C)C=C1
Fenoldopam,0.083,OC1=CC=C(C=C1)C1CNCCC2=C(Cl)C(O)=C(O)C=C12
Colistin,5,CCC(C)CCCC(=O)N[C@@H](CCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)C(NC(=O)[C@@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)O
Dicyclomine,1.8,CCN(CC)CCOC(=O)C1(CCCCC1)C1CCCCC1
Pentoxifylline,0.615,CN1C=NC2=C1C(=O)N(CCCCC(C)=O)C(=O)N2C
Indapamide,15.95,CC1CC2=CC=CC=C2N1NC(=O)C1=CC(=C(Cl)C=C1)S(N)(=O)=O
Tropicamide,0.5,CCN(CC1=CC=NC=C1)C(=O)C(CO)C1=CC=CC=C1
Ribavirin,145.0,NC(=O)C1=NN(C=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
Meloxicam,20,CN1C(C(=O)NC2=NC=C(C)S2)=C(O)C2=C(C=CC=C2)S1(=O)=O
Orciprenaline,6,CC(C)NCC(O)C1=CC(O)=CC(O)=C1
Propofol,16.25,CC(C)C1=CC=CC(C(C)C)=C1O
Acetazolamide,6.0,CC(=O)NC1=NN=C(S1)S(N)(=O)=O
Tadalafil,16.25,[H][C@]12CC3=C(NC4=CC=CC=C34)[C@H](N1C(=O)CN(C)C2=O)C1=CC2=C(OCO2)C=C1
Enprofylline,1.9,CCCN1C2=C(NC=N2)C(=O)NC1=O
Cinoxacin,1.5,CCN1N=C(C(O)=O)C(=O)C2=CC3=C(OCO3)C=C12
Fosfomycin,5.7,C[C@@H]1O[C@@H]1P(O)(O)=O
Diazepam,36.0,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1
Phenmetrazine,23.5,CC1NCCOC1C1=CC=CC=C1
Trifluoperazine,15.0,CN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(C=C3)C(F)(F)F)CC1
Cefaclor,0.75,[H][C@]12SCC(Cl)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O
Progabide,4,NC(=O)CCC\N=C(\C1=CC=C(Cl)C=C1)C1=C(O)C=CC(F)=C1
Tolazamide,7,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN1CCCCCC1
Dobutamine,0.03,CC(CCC1=CC=C(O)C=C1)NCCC1=CC(O)=C(O)C=C1
Oxazepam,8.2,OC1N=C(C2=CC=CC=C2)C2=C(NC1=O)C=CC(Cl)=C2
Donepezil,70,COC1=C(OC)C=C2C(=O)C(CC3CCN(CC4=CC=CC=C4)CC3)CC2=C1
Nalbuphine,5,O[C@H]1CC[C@@]2(O)[C@H]3CC4=CC=C(O)C5=C4[C@@]2(CCN3CC2CCC2)[C@H]1O5
Clofazimine,600,CC(C)N=C1C=C2N(C3=CC=C(Cl)C=C3)C3=C(C=CC=C3)N=C2C=C1NC1=CC=C(Cl)C=C1
Cysteamine,3.7,NCCS
Levamisole,5.0,C1CN2C[C@@H](N=C2S1)C1=CC=CC=C1
Methylphenobarbital,34,CCC1(C(=O)NC(=O)N(C)C1=O)C1=CC=CC=C1
Perphenazine,10.0,OCCN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1
Dacarbazine,5,CN(C)\N=N\C1=C(N=CN1)C(N)=O
Pseudoephedrine,6,CN[C@@H](C)[C@@H](O)C1=CC=CC=C1
Temozolomide,1.8,CN1N=NC2=C(N=CN2C1=O)C(N)=O
Levorphanol,13.5,[H][C@@]12CCCC[C@@]11CCN(C)[C@@H]2CC2=C1C=C(O)C=C2
Aminolevulinic_acid,0.83,NCC(=O)CCC(O)=O
Chlorphenesin,3.65,OCC(O)COC1=CC=C(Cl)C=C1
Terbinafine,300.0,CN(C\C=C\C#CC(C)(C)C)CC1=CC=CC2=CC=CC=C12
Penicillamine,1,[H][C@](N)(C(O)=O)C(C)(C)S
Prednisolone,2.8,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
Diflunisal,10.0,OC(=O)C1=C(O)C=CC(=C1)C1=C(F)C=C(F)C=C1
Vardenafil,4.5,CCCC1=NC(C)=C2N1NC(=NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)N1CCN(CC)CC1
Ranitidine,2.75,CNC(NCCSCC1=CC=C(CN(C)C)O1)=C[N+]([O-])=O
Tacrolimus,35,CO[C@@H]1C[C@@H](CC[C@H]1O)\C=C(/C)[C@H]1OC(=O)[C@@H]2CCCCN2C(=O)C(=O)[C@]2(O)O[C@@H]([C@H](C[C@H]2C)OC)[C@H](C[C@@H](C)C\C(C)=C\[C@@H](CC=C)C(=O)C[C@H](O)[C@H]1C)OC
Benzphetamine,23.5,C[C@@H](CC1=CC=CC=C1)N(C)CC1=CC=CC=C1
Alprenolol,2.5,CC(C)NCC(O)COC1=CC=CC=C1CC=C
Ritodrine,2.15,C[C@@H](NCCC1=CC=C(O)C=C1)[C@@H](O)C1=CC=C(O)C=C1
Benzonatate,1.01,CCCCNC1=CC=C(C=C1)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC
Terbutaline,3.4,CC(C)(C)NCC(O)C1=CC(O)=CC(O)=C1
Conivaptan,5,CC1=NC2=C(CCN(C(=O)C3=CC=C(NC(=O)C4=CC=CC=C4C4=CC=CC=C4)C=C3)C3=CC=CC=C23)N1
Guaifenesin,1,COC1=CC=CC=C1OCC(O)CO
Flupentixol,35,[H]\C(CCN1CCN(CCO)CC1)=C1/C2=CC=CC=C2SC2=C1C=C(C=C2)C(F)(F)F
Eprosartan,7.0,CCCCC1=NC=C(\C=C(/CC2=CC=CS2)C(O)=O)N1CC1=CC=C(C=C1)C(O)=O
Sirolimus,62,[H][C@@]1(C[C@@H](C)[C@]2([H])CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@]3([H])CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@@]3([H])C(=O)O2)OC)CC[C@@H](O)[C@@H](C1)OC
Emtricitabine,10,NC1=NC(=O)N(C=C1F)[C@@H]1CS[C@H](CO)O1
Chlorothiazide,1.375,NS(=O)(=O)C1=C(Cl)C=C2NC=NS(=O)(=O)C2=C1
Clomifene,144.0,CCN(CC)CCOC1=CC=C(C=C1)C(=C(Cl)C1=CC=CC=C1)C1=CC=CC=C1
Isosorbide_dinitrate,1,[H][C@]12OC[C@H](O[N+]([O-])=O)[C@@]1([H])OC[C@H]2O[N+]([O-])=O
Risedronic_acid,561,OC(CC1=CN=CC=C1)(P(O)(O)=O)P(O)(O)=O
Mechlorethamine,0.25,CN(CCCl)CCCl
Granisetron,5.0,CN1N=C(C(=O)N[C@@H]2C[C@@H]3CCC[C@H](C2)N3C)C2=C1C=CC=C2
Sulfapyridine,10.0,NC1=CC=C(C=C1)S(=O)(=O)NC1=CC=CC=N1
Rimexolone,1.5,[H][C@@]12C[C@@H](C)[C@](C)(C(=O)CC)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
Triazolam,3.5,CC1=NN=C2CN=C(C3=CC=CC=C3Cl)C3=C(C=CC(Cl)=C3)N12
Remifentanil,0.3,CCC(=O)N(C1=CC=CC=C1)C1(CCN(CCC(=O)OC)CC1)C(=O)OC
Didanosine,0.5,OC[C@@H]1CC[C@@H](O1)N1C=NC2=C1NC=NC2=O
Ondansetron,3.5,CN1C2=C(C3=CC=CC=C13)C(=O)C(CN1C=CN=C1C)CC2
Tiagabine,8.0,CC1=C(SC=C1)C(=CCCN1CCC[C@H](C1)C(O)=O)C1=C(C)C=CS1
Quinidine,7.0,[H][C@@]12CCN(C[C@@H]1C=C)[C@]([H])(C2)[C@@H](O)C1=C2C=C(OC)C=CC2=NC=C1
Paricalcitol,5.0,[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1C[C@@H](O)C[C@H](O)C1)[C@H](C)\C=C\[C@H](C)C(C)(C)O
Tinidazole,13.2,CCS(=O)(=O)CCN1C(C)=NC=C1[N+]([O-])=O
Amantadine,12.0,NC12CC3CC(CC(C3)C1)C2
Metronidazole,7.3,CC1=NC=C(N1CCO)[N+]([O-])=O
Dinoprostone,0.08,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O
Ketotifen,22,CN1CCC(CC1)=C1C2=C(SC=C2)C(=O)CC2=CC=CC=C12
Buprenorphine,30.75,CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1CC4=C5C(O[C@@H]2[C@@]35CCN1CC1CC1)=C(O)C=C4
Levosimendan,1,C[C@@H]1CC(=O)NN=C1C1=CC=C(NN=C(C#N)C#N)C=C1
Ceforanide,2.79,[H][C@]12SCC(CSC3=NN=NN3CC(O)=O)=C(N1C(=O)[C@H]2NC(=O)CC1=CC=CC=C1CN)C(O)=O
Cyclobenzaprine,18,CN(C)CCC=C1C2=CC=CC=C2C=CC2=CC=CC=C12
Phenoxybenzamine,24,CC(COC1=CC=CC=C1)N(CCCl)CC1=CC=CC=C1
Etretinate,2880,CCOC(=O)C=C(C)C=CC=C(C)C=CC1=C(C)C(C)=C(OC)C=C1C
Famotidine,3.0,NC(N)=NC1=NC(CSCCC(N)=NS(N)(=O)=O)=CS1
Azacitidine,4,NC1=NC(=O)N(C=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
Misoprostol,1.04,CCCCC(C)(O)C\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC
Metacycline,14,[H][C@@]12[C@@H](O)[C@]3([H])C(=C)C4=C(C(O)=CC=C4)C(=O)C3=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@H]2N(C)C
Tipranavir,5.5,[H][C@@](CC)(C1=CC(NS(=O)(=O)C2=NC=C(C=C2)C(F)(F)F)=CC=C1)C1=C(O)C[C@@](CCC)(CCC2=CC=CC=C2)OC1=O
Mesoridazine,36.0,CN1CCCCC1CCN1C2=C(SC3=C1C=C(C=C3)S(C)=O)C=CC=C2
Oxymetazoline,8.3,CC1=CC(=C(O)C(C)=C1CC1=NCCN1)C(C)(C)C
Salmeterol,5.5,OCC1=C(O)C=CC(=C1)C(O)CNCCCCCCOCCCCC1=CC=CC=C1
Meclofenamic_acid,3.05,CC1=C(Cl)C(NC2=CC=CC=C2C(O)=O)=C(Cl)C=C1
Zalcitabine,2,NC1=NC(=O)N(C=C1)[C@H]1CC[C@@H](CO)O1
Acetylsalicylic_acid,0.3,CC(=O)OC1=CC=CC=C1C(O)=O
Phenprocoumon,132.0,CCC(C1=CC=CC=C1)C1=C(O)C2=C(OC1=O)C=CC=C2
Fulvestrant,960,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=CC=C(O)C=C3C[C@@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)[C@@]21[H]
Mezlocillin,2.85,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](NC(=O)N1CCN(C1=O)S(C)(=O)=O)C1=CC=CC=C1)C(O)=O
Felbamate,21.5,NC(=O)OCC(COC(N)=O)C1=CC=CC=C1
Isoniazid,1.05,NNC(=O)C1=CC=NC=C1
Naratriptan,6.5,CNS(=O)(=O)CCC1=CC2=C(NC=C2C2CCN(C)CC2)C=C1
Rizatriptan,2.5,CN(C)CCC1=CNC2=C1C=C(CN1C=NC=N1)C=C2
Dirithromycin,8,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)[C@@H]2N[C@@H](COCCOC)O[C@H]([C@H]2C)[C@]1(C)O
Netilmicin,2.5,CCN[C@@H]1C[C@H](N)[C@@H](O[C@H]2OC(CN)=CC[C@H]2N)[C@H](O)[C@H]1O[C@H]1OC[C@](C)(O)[C@H](NC)[C@H]1O
Hydrocodone,8.0,[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])CCC2=O
Carboplatin,4.25,[H][N]([H])([H])[Pt]1(OC(=O)C2(CCC2)C(=O)O1)[N]([H])([H])[H]
Pindolol,3.5,CC(C)NCC(O)COC1=CC=CC2=C1C=CN2
Zaleplon,1,CCN(C(C)=O)C1=CC=CC(=C1)C1=CC=NC2=C(C=NN12)C#N
Apraclonidine,8,NC1=CC(Cl)=C(NC2=NCCN2)C(Cl)=C1
Telmisartan,24,CCCC1=NC2=C(C=C(C=C2C)C2=NC3=CC=CC=C3N2C)N1CC1=CC=C(C=C1)C1=CC=CC=C1C(O)=O
Methyldopa,1.75,C[C@](N)(CC1=CC=C(O)C(O)=C1)C(O)=O
Alosetron,1.5,CN1C2=C(C3=CC=CC=C13)C(=O)N(CC1=C(C)NC=N1)CC2
Edetic_acid,0.665,OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O
Dipyridamole,0.67,OCCN(CCO)C1=NC2=C(N=C(N=C2N2CCCCC2)N(CCO)CCO)C(=N1)N1CCCCC1
Telithromycin,2.5,[H][C@@]12[C@@H](C)C(=O)[C@H](C)C[C@@](C)(OC)[C@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@@H](C)C(=O)[C@@H](C)C(=O)O[C@H](CC)[C@@]1(C)OC(=O)N2CCCCN1C=NC(=C1)C1=CC=CN=C1
Ethinylestradiol,8.4,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3
Isotretinoin,20,C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C\C(O)=O
Formoterol,8.5,COC1=CC=C(CC(C)NCC(O)C2=CC(NC=O)=C(O)C=C2)C=C1
Dimenhydrinate,6.5,CN1C2=C(N=C(Cl)N2)C(=O)N(C)C1=O.CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1
Glycopyrronium,3,C[N+]1(C)CCC(C1)OC(=O)C(O)(C1CCCC1)C1=CC=CC=C1
Cytarabine,0.17,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
Exemestane,24,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC(=C)C2=CC(=O)C=C[C@]12C
Gabapentin,6.0,NCC1(CC(O)=O)CCCCC1
Doxorubicin,34.0,COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@H](O)[C@H](C)O3)C(=O)CO)C(O)=C1C2=O
Frovatriptan,26,CN[C@@H]1CCC2=C(C1)C1=C(N2)C=CC(=C1)C(N)=O
Hydrochlorothiazide,10.2,NS(=O)(=O)C1=C(Cl)C=C2NCNS(=O)(=O)C2=C1
Salbutamol,4.6,CC(C)(C)NCC(O)C1=CC(CO)=C(O)C=C1
Levobupivacaine,3.3,CCCCN1CCCC[C@H]1C(=O)NC1=C(C)C=CC=C1C
Cromoglicic_acid,1.3,OC(COC1=CC=CC2=C1C(=O)C=C(O2)C(O)=O)COC1=CC=CC2=C1C(=O)C=C(O2)C(O)=O
Hydroxyurea,3.5,NC(=O)NO
Letrozole,42,N#CC1=CC=C(C=C1)C(N1C=NC=N1)C1=CC=C(C=C1)C#N
Ketoprofen,2.55,CC(C(O)=O)C1=CC(=CC=C1)C(=O)C1=CC=CC=C1
Edrophonium,1.19,CC[N+](C)(C)C1=CC(O)=CC=C1
Metyrapone,1.9,CC(C)(C(=O)C1=CN=CC=C1)C1=CC=CN=C1
Cinacalcet,35.0,C[C@@H](NCCCC1=CC(=CC=C1)C(F)(F)F)C1=CC=CC2=CC=CC=C12
Sulfamethoxazole,10,CC1=CC(NS(=O)(=O)C2=CC=C(N)C=C2)=NO1
Glyburide,8.95,COC1=C(C=C(Cl)C=C1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1
Minocycline,19.0,[H][C@@]12CC3=C(C(O)=CC=C3N(C)C)C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])C2
Guanfacine,17,NC(=N)NC(=O)CC1=C(Cl)C=CC=C1Cl
Isosorbide_mononitrate,5,[H][C@]12OC[C@@H](O[N+]([O-])=O)[C@@]1([H])OC[C@@H]2O
Phylloquinone,2,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC\C(C)=C\CC1=C(C)C(=O)C2=C(C=CC=C2)C1=O
Felodipine,14.1,CCOC(=O)C1=C(C)NC(C)=C(C1C1=C(Cl)C(Cl)=CC=C1)C(=O)OC
Mycophenolic_acid,12.0,COC1=C(C\C=C(/C)CCC(O)=O)C(O)=C2C(=O)OCC2=C1C
Amlexanox,3.5,CC(C)C1=CC2=C(OC3=NC(N)=C(C=C3C2=O)C(O)=O)C=C1
Ketoconazole,8,CC(=O)N1CCN(CC1)C1=CC=C(OCC2COC(CN3C=CN=C3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1
Irbesartan,13.0,CCCCC1=NC2(CCCC2)C(=O)N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1
Topotecan,2.5,CC[C@@]1(O)C(=O)OCC2=C1C=C1N(CC3=CC4=C(C=CC(O)=C4CN(C)C)N=C13)C2=O
Ethinamate,2.5,NC(=O)OC1(CCCCC1)C#C
Probenecid,9.0,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(O)=O
Mercaptopurine,10,S=C1N=CNC2=C1NC=N2
Procainamide,3.5,CCN(CC)CCNC(=O)C1=CC=C(N)C=C1
Tolterodine,2.8,CC(C)N(CC[C@H](C1=CC=CC=C1)C1=C(O)C=CC(C)=C1)C(C)C
Selegiline,1.6,C[C@H](CC1=CC=CC=C1)N(C)CC#C
Fenofibrate,23,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C1=CC=C(Cl)C=C1
Thalidomide,6.0,O=C1N(C2CCC(=O)NC2=O)C(=O)C2=CC=CC=C12
Melphalan,1.5,N[C@@H](CC1=CC=C(C=C1)N(CCCl)CCCl)C(O)=O
Memantine,80.0,CC12CC3CC(C)(C1)CC(N)(C3)C2
Gatifloxacin,10.5,COC1=C2N(C=C(C(O)=O)C(=O)C2=CC(F)=C1N1CCNC(C)C1)C1CC1
Rifampicin,3.35,CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C2=O)C2=C(O)C(\C=N\N4CCN(C)CC4)=C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C(O)=C2C(O)=C3C
Lubiprostone,1.15,[H][C@@]12CC(=O)[C@H](CCCCCCC(O)=O)[C@@]1([H])CC[C@@](O)(O2)C(F)(F)CCCC
Abacavir,1.54,NC1=NC2=C(N=CN2[C@@H]2C[C@H](CO)C=C2)C(NC2CC2)=N1
Ibuprofen,1.6,CC(C)CC1=CC=C(C=C1)C(C)C(O)=O
Benzylpenicillin,0.65,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)CC1=CC=CC=C1)C(O)=O
Tocainide,15,CC(N)C(=O)NC1=C(C)C=CC=C1C
Norfloxacin,3.5,CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(C=C12)N1CCNCC1
Amoxicillin,1,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=C(O)C=C1)C(O)=O
Oxybutynin,2,CCN(CC)CC#CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1
Isoprenaline,0.05,CC(C)NCC(O)C1=CC(O)=C(O)C=C1
Cefditoren,1.6,[H][C@]12SCC(\C=C/C3=C(C)N=CS3)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O
Clonazepam,35.0,[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2Cl)C=C1
Promethazine,13.5,CC(CN1C2=CC=CC=C2SC2=CC=CC=C12)N(C)C
Atazanavir,7,COC(=O)N[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)CN(CC1=CC=C(C=C1)C1=CC=CC=N1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C
Fludarabine,20,NC1=NC(F)=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
Perhexiline,96.0,C(C(C1CCCCC1)C1CCCCC1)C1CCCCN1
Diphenhydramine,5.8500000000000005,CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1
Atorvastatin,14,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H](O)C[C@@H](O)CC(O)=O)C1=CC=C(F)C=C1)C1=CC=CC=C1
Etidronic_acid,3.5,CC(O)(P(O)(O)=O)P(O)(O)=O
Deslanoside,36,C[C@H]1O[C@H](C[C@H](O)[C@@H]1O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](C)O2)[C@@H](C)O1)O[C@H]1CC[C@@]2(C)[C@H](CC[C@@H]3[C@@H]2C[C@@H](O)[C@]2(C)[C@H](CC[C@]32O)C2=CC(=O)OC2)C1
Vigabatrin,10.5,NC(CCC(O)=O)C=C
Diphenoxylate,13.0,CCOC(=O)C1(CCN(CCC(C#N)(C2=CC=CC=C2)C2=CC=CC=C2)CC1)C1=CC=CC=C1
Streptomycin,2.5,CN[C@H]1[C@H](O)[C@@H](O)[C@H](CO)O[C@H]1O[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](NC(N)=N)[C@@H](O)[C@@H]2NC(N)=N)O[C@@H](C)[C@]1(O)C=O
Pilocarpine,0.76,CC[C@H]1[C@@H](CC2=CN=CN2C)COC1=O
Primaquine,5.550000000000001,COC1=CC(NC(C)CCCN)=C2N=CC=CC2=C1
Iloprost,0.41500000000000004,[H][C@]12C[C@@H](O)[C@H](\C=C\[C@@H](O)C(C)CC#CC)[C@@]1([H])C\C(C2)=C\CCCC(O)=O
Butenafine,150,CN(CC1=CC=C(C=C1)C(C)(C)C)CC1=CC=CC2=CC=CC=C12
Fluvastatin,3,CC(C)N1C(\C=C\C(O)CC(O)CC(O)=O)=C(C2=CC=CC=C12)C1=CC=C(F)C=C1
Oxamniquine,1.75,CC(C)NCC1CCC2=CC(CO)=C(C=C2N1)[N+]([O-])=O
Leflunomide,336,CC1=C(C=NO1)C(=O)NC1=CC=C(C=C1)C(F)(F)F
Flucytosine,3.5999999999999996,NC1=C(F)C=NC(=O)N1
Pimozide,29,FC1=CC=C(C=C1)C(CCCN1CCC(CC1)N1C(=O)NC2=CC=CC=C12)C1=CC=C(F)C=C1
Capecitabine,0.875,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@@H]1O[C@H](C)[C@@H](O)[C@H]1O
Arbutamine,0.13,O[C@@H](CNCCCCC1=CC=C(O)C=C1)C1=CC(O)=C(O)C=C1
Quinacrine,228.0,CCN(CC)CCCC(C)NC1=C2C=C(OC)C=CC2=NC2=C1C=CC(Cl)=C2
Sertraline,26,CN[C@H]1CC[C@@H](C2=CC(Cl)=C(Cl)C=C2)C2=CC=CC=C12
Levocabastine,36,C[C@@H]1CN(CC[C@]1(C(O)=O)C1=CC=CC=C1)[C@H]1CC[C@](CC1)(C#N)C1=CC=C(F)C=C1
Methyprylon,11.0,CCC1(CC)C(=O)NCC(C)C1=O
Trilostane,8,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]23O[C@@H]2C(O)=C(C[C@]13C)C#N
Colistimethate,2.5,CCC(C)CCCCC(=O)NC(CCNCS([O-])(=O)=O)C(=O)NC(C(C)O)C(=O)NC(CCNCS([O-])(=O)=O)C(=O)NC1CCNC(=O)C(NC(=O)C(CCNCS([O-])(=O)=O)NC(=O)C(CCNCS([O-])(=O)=O)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CCNCS([O-])(=O)=O)NC1=O)C(C)O
Cefuroxime,1.33,[H][C@]12SCC(COC(N)=O)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CC=CO1)C(O)=O
Papaverine,1.25,COC1=C(OC)C=C(CC2=NC=CC3=CC(OC)=C(OC)C=C23)C=C1
Chlorpheniramine,24.0,CN(C)CCC(C1=CC=C(Cl)C=C1)C1=CC=CC=N1
Nifedipine,2,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC=C1[N+]([O-])=O)C(=O)OC
Atovaquone,64.8,OC1=C([C@H]2CC[C@@H](CC2)C2=CC=C(Cl)C=C2)C(=O)C2=CC=CC=C2C1=O
Amiodarone,1392,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=C(O1)C=CC=C2
Diazoxide,28,CC1=NS(=O)(=O)C2=C(N1)C=CC(Cl)=C2
Gliclazide,10.4,[H][C@@]12CCC[C@]1([H])CN(C2)NC(=O)NS(=O)(=O)C1=CC=C(C)C=C1
Tolbutamide,7,CCCCNC(=O)NS(=O)(=O)C1=CC=C(C)C=C1
Dutasteride,840,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@@]4([H])NC(=O)C=C[C@]4(C)[C@@]3([H])CC[C@]12C)C(=O)NC1=CC(=CC=C1C(F)(F)F)C(F)(F)F
Bicalutamide,141.6,CC(O)(CS(=O)(=O)C1=CC=C(F)C=C1)C(=O)NC1=CC(=C(C=C1)C#N)C(F)(F)F
Rabeprazole,1.5,COCCCOC1=C(C)C(CS(=O)C2=NC3=CC=CC=C3N2)=NC=C1
Proguanil,20,CC(C)NC(=N)NC(=N)NC1=CC=C(Cl)C=C1
Tiludronic_acid,40,OP(O)(=O)C(SC1=CC=C(Cl)C=C1)P(O)(O)=O
